	"dac_hero_name_abaddon"								"Abaddon"
	"dac_hero_name_alchemist"							"Alchemist"
	"dac_hero_name_antimage"							"Anti-Mage"
	"dac_hero_name_axe"									"Axe"
	"dac_hero_name_bat_rider"							"Batrider"
	"dac_hero_name_beast_master"						"Beastmaster"
	"dac_hero_name_bounty_hunter"						"Bounty Hunter"
	"dac_hero_name_chaos_knight"						"Chaos Knight"
	"dac_hero_name_clockwerk"							"Clockwerk"
	"dac_hero_name_crystal_maiden"						"Crystal Maiden"
	"dac_hero_name_disruptor"							"Disruptor"
	"dac_hero_name_doom"								"Doom"
	"dac_hero_name_dragon_knight"						"Dragon Knight"
	"dac_hero_name_drow_ranger"							"Drow Ranger"
	"dac_hero_name_enchantress"							"Enchantress"
	"dac_hero_name_enigma"								"Enigma"
	"dac_hero_name_furion"								"Nature's Prophet"
	"dac_hero_name_gyrocopter"							"Gyrocopter"
	"dac_hero_name_juggernaut"							"Juggernaut"
	"dac_hero_name_keeper_of_the_light"					"Keeper of the Light"
	"dac_hero_name_kunkka"								"Kunkka"
	"dac_hero_name_lich"								"Lich"
	"dac_hero_name_lina"								"Lina"
	"dac_hero_name_lone_druid"							"Lone Druid"
	"dac_hero_name_luna"								"Luna"
	"dac_hero_name_lycan"								"Lycan"
	"dac_hero_name_medusa"								"Medusa"
	"dac_hero_name_morphling"							"Morphling"
	"dac_hero_name_necrophos"							"Necrophos"
	"dac_hero_name_ogre_magi"							"Ogre Magi"
	"dac_hero_name_omniknight"							"Omniknight"
	"dac_hero_name_phantom_assassin"					"Phantom Assassin"
	"dac_hero_name_puck"								"Puck"
	"dac_hero_name_queen_of_pain"						"Queen of Pain"
	"dac_hero_name_razor"								"Razor"
	"dac_hero_name_sand_king"							"Sand King"
	"dac_hero_name_shadow_fiend"						"Shadow Fiend"
	"dac_hero_name_shadow_shaman"						"Shadow Shaman"
	"dac_hero_name_slardar"								"Slardar"
	"dac_hero_name_slark"								"Slark"
	"dac_hero_name_sniper"								"Sniper"
	"dac_hero_name_techies"								"Techies"
	"dac_hero_name_templar_assassin"					"Templar Assassin"
	"dac_hero_name_terrorblade"							"Terrorblade"
	"dac_hero_name_tide_hunter"							"Tidehunter"
	"dac_hero_name_timbersaw"							"Timbersaw"
	"dac_hero_name_tinker"								"Tinker"
	"dac_hero_name_tiny"								"Tiny"
	"dac_hero_name_treant_protector"					"Treant Protector"
	"dac_hero_name_troll_warlord"						"Troll Warlord"
	"dac_hero_name_tusk"								"Tusk"
	"dac_hero_name_venomancer"							"Venomancer"
	"dac_hero_name_viper"								"Viper"
	"dac_hero_name_wind_ranger"							"Windranger"
	"dac_hero_name_witch_doctor"						"Witch Doctor"
	"dac_hero_name_pudge"								"Pudge"
	"dac_hero_name_warlock"								"Warlock"
	"dac_hero_name_bloodseeker"							"Bloodseeker"
	"dac_hero_name_arc_warden"							"Arc Warden"
	"dac_hero_name_mirana"								"Mirana"
	"dac_name_plague_ward"								"Plague Ward"
	"dac_name_natures_prophet_tree"						"Lesser Treant"
	"dac_name_lone_druid_bear"							"Spirit Bear"
	"dac_name_lycan_wolf_spawns"						"Savage Wolf"
	"dac_name_techies_bomb"								"Keenfolk Explosives"
	"dac_name_eidolon"									"Eidolon"
	"dac_unit_neutral_melee"							"Melee Creep"
	"dac_unit_neutral_ranged"							"Ranged Creep"
	"dac_unit_neutral_melee_mega"						"Mega Creep"
	"dac_unit_neutral_golem_a"							"Big Golem"
	"dac_unit_neutral_golem_b"							"Small Golem"
	"dac_unit_neutral_wolf_big"							"Big Wolf"
	"dac_unit_neutral_wolf_small"						"Small Wolf"
	"dac_unit_neutral_bear_a"							"Tomato"
	"dac_unit_neutral_bear_b"							"Potato"
	"dac_unit_neutral_vulture_a"						"Revtel Wildwing"
	"dac_unit_neutral_vulture_b"						"Wildwing Hatchling"
	"dac_unit_neutral_thunder_lizard_big"				"Thunderhide Alpha"
	"dac_unit_neutral_thunder_lizard_small"				"Thunderhide"
	"dac_unit_neutral_black_dragon"						"Black Dragon"
	"dac_unit_neutral_troll_dark_a"						"Dark Troll Buddy"
	"dac_unit_neutral_troll_dark_b"						"Dark Troll Boss"
	"dac_unit_neutral_troll_dark_frost"					"Dark Troll Priest"
	"dac_unit_neutral_nian"								"The Year Beast"
	"dac_unit_neutral_roshan"							"Roshan"
	"dac_name_healing_ward"								"Healing Ward"
	"dac_item_healing_ward"								"Healing Ward"
	"dac_name_barricade"								"Barricade"
	"dac_item_barricade"								"Barricade"
	"dac_name_tombstone"								"Tombstone"
	"dac_item_tombstone"								"Tombstone"
	"dac_name_tombstone_zombie"							"Zombie"
	"dac_name_target_dummy"								"Target Buddy"
	"dac_item_target_dummy"								"Target Buddy"
	"dac_item_claymore"									"Claymore"
	"dac_item_void_stone"								"Brooch of the Aggressor"
	"dac_item_mana_sponge"								"Brooch of the Martyr"
	"dac_item_quelling_blade"							"Quelling Blade"
	"dac_item_boots_of_speed"							"Boots of Speed"
	"dac_item_tranquil_boots"							"Tranquil Boots"
	"dac_item_octarine_fragment"						"Octarine Essence"
	"dac_item_vitality_booster"							"Vitality Booster"
	"dac_item_cloak"									"Cloak"
	"dac_item_blink_dagger"								"Blink Dagger"
	"dac_item_mask_of_madness"							"Mask of Madness"
	"dac_item_blade_mail"								"Blade Mail"
	"dac_item_battle_fury"								"Battle Fury"
	"dac_item_dagon"									"Dagon"
	"dac_item_sacred_relic"								"Sacred Relic"
	"dac_item_maelstrom"								"Maelstrom"
	"dac_item_refresher_orb"							"Refresher Orb"
	"dac_item_heart_of_tarrasque"						"Heart of Tarrasque"
	"dac_item_divine_rapier"							"Divine Rapier"
	"dac_item_assault_cuirass"							"Assault Cuirass"
